,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
1331,2018-06-26,0.0,12722.73,12722.73,1.2723
1332,2018-06-27,0.0,12702.91,12702.91,1.2703
1333,2018-06-28,0.0,12680.25,12680.25,1.268
1334,2018-06-29,0.0,12845.93,12845.93,1.2846
1335,2018-07-02,0.0,12794.2,12794.2,1.2794
1336,2018-07-03,0.0,12879.87,12879.87,1.288
1337,2018-07-04,0.0,12860.92,12860.92,1.2861
1338,2018-07-05,0.0,12794.69,12794.69,1.2795
1339,2018-07-06,0.0,12799.29,12799.29,1.2799
1340,2018-07-09,0.0,12917.84,12917.84,1.2918
1341,2018-07-10,0.0,12928.9,12928.9,1.2929
1342,2018-07-11,0.0,12836.1,12836.1,1.2836
1343,2018-07-12,0.0,13013.61,13013.61,1.3014
1344,2018-07-13,0.0,13018.11,13018.11,1.3018
1345,2018-07-16,0.0,13004.56,13004.56,1.3005
1346,2018-07-17,0.0,13110.36,13110.36,1.311
1347,2018-07-18,0.0,13155.63,13155.63,1.3156
1348,2018-07-19,0.0,13213.97,13213.97,1.3214
1349,2018-07-20,0.0,13284.21,13284.21,1.3284
1350,2018-07-23,0.0,13328.36,13328.36,1.3328
1351,2018-07-24,0.0,13354.05,13354.05,1.3354
1352,2018-07-25,0.0,13360.46,13360.46,1.336
1353,2018-07-26,0.0,13283.56,13283.56,1.3284
1354,2018-07-27,0.0,13224.62,13224.62,1.3225
1355,2018-07-30,0.0,13157.89,13157.89,1.3158
1356,2018-07-31,0.0,13183.31,13183.31,1.3183
1357,2018-08-01,0.0,13132.77,13132.77,1.3133
1358,2018-08-02,0.0,13014.02,13014.02,1.3014
1359,2018-08-03,0.0,12981.65,12981.65,1.2982
1360,2018-08-06,0.0,12964.33,12964.33,1.2964
1361,2018-08-07,0.0,13081.44,13081.44,1.3081
1362,2018-08-08,0.0,12995.33,12995.33,1.2995
1363,2018-08-09,0.0,13117.54,13117.54,1.3118
1364,2018-08-10,0.0,13193.54,13193.54,1.3194
1365,2018-08-13,0.0,13216.78,13216.78,1.3217
1366,2018-08-14,0.0,13171.26,13171.26,1.3171
1367,2018-08-15,0.0,13116.15,13116.15,1.3116
1368,2018-08-16,0.0,13078.36,13078.36,1.3078
1369,2018-08-17,0.0,12995.75,12995.75,1.2996
1370,2018-08-20,0.0,12921.65,12921.65,1.2922
1371,2018-08-21,0.0,12987.05,12987.05,1.2987
1372,2018-08-22,0.0,12960.7,12960.7,1.2961
1373,2018-08-23,0.0,12990.02,12990.02,1.299
1374,2018-08-24,0.0,13029.37,13029.37,1.3029
1375,2018-08-27,0.0,13130.67,13130.67,1.3131
1376,2018-08-28,0.0,13179.95,13179.95,1.318
1377,2018-08-29,0.0,13130.1,13130.1,1.313
1378,2018-08-30,0.0,13063.19,13063.19,1.3063
1379,2018-08-31,0.0,13035.84,13035.84,1.3036
1380,2018-09-03,0.0,13024.69,13024.69,1.3025
1381,2018-09-04,0.0,13070.18,13070.18,1.307
1382,2018-09-05,0.0,13015.84,13015.84,1.3016
1383,2018-09-06,0.0,13009.18,13009.18,1.3009
1384,2018-09-07,0.0,13014.36,13014.36,1.3014
1385,2018-09-10,0.0,12948.83,12948.83,1.2949
1386,2018-09-11,0.0,12933.46,12933.46,1.2933
1387,2018-09-12,0.0,12949.87,12949.87,1.295
1388,2018-09-13,0.0,12967.03,12967.03,1.2967
1389,2018-09-14,0.0,12958.04,12958.04,1.2958
1390,2018-09-17,0.0,12884.51,12884.51,1.2885
1391,2018-09-18,0.0,12920.26,12920.26,1.292
1392,2018-09-19,0.0,12981.62,12981.62,1.2982
1393,2018-09-20,0.0,12987.35,12987.35,1.2987
1394,2018-09-21,0.0,13066.0,13066.0,1.3066
1395,2018-09-25,0.0,13069.91,13069.91,1.307
1396,2018-09-26,0.0,13093.27,13093.27,1.3093
1397,2018-09-27,0.0,13001.65,13001.65,1.3002
1398,2018-09-28,0.0,13040.37,13040.37,1.304
1399,2018-10-08,0.0,12888.19,12888.19,1.2888
1400,2018-10-09,0.0,12867.02,12867.02,1.2867
1401,2018-10-10,0.0,12866.79,12866.79,1.2867
1402,2018-10-11,0.0,12534.17,12534.17,1.2534
1403,2018-10-12,0.0,12581.34,12581.34,1.2581
1404,2018-10-15,0.0,12543.34,12543.34,1.2543
1405,2018-10-16,0.0,12472.43,12472.43,1.2472
1406,2018-10-17,0.0,12443.77,12443.77,1.2444
1407,2018-10-18,0.0,12322.72,12322.72,1.2323
1408,2018-10-19,0.0,12402.61,12402.61,1.2403
1409,2018-10-22,0.0,12596.34,12596.34,1.2596
1410,2018-10-23,0.0,12568.21,12568.21,1.2568
1411,2018-10-24,0.0,12612.78,12612.78,1.2613
1412,2018-10-25,0.0,12619.14,12619.14,1.2619
1413,2018-10-26,0.0,12666.31,12666.31,1.2666
1414,2018-10-29,0.0,12619.12,12619.12,1.2619
1415,2018-10-30,0.0,12656.04,12656.04,1.2656
1416,2018-10-31,0.0,12704.93,12704.93,1.2705
1417,2018-11-01,0.0,12755.43,12755.43,1.2755
1418,2018-11-02,0.0,12983.95,12983.95,1.2984
1419,2018-11-05,0.0,13037.76,13037.76,1.3038
1420,2018-11-06,0.0,12955.29,12955.29,1.2955
1421,2018-11-07,0.0,12972.44,12972.44,1.2972
1422,2018-11-08,0.0,12946.77,12946.77,1.2947
1423,2018-11-09,0.0,12922.34,12922.34,1.2922
1424,2018-11-12,0.0,13031.68,13031.68,1.3032
1425,2018-11-13,0.0,13131.47,13131.47,1.3131
1426,2018-11-14,0.0,13143.11,13143.11,1.3143
1427,2018-11-15,0.0,13286.52,13286.52,1.3287
1428,2018-11-16,0.0,13343.39,13343.39,1.3343
1429,2018-11-19,0.0,13376.96,13376.96,1.3377
1430,2018-11-20,0.0,13194.06,13194.06,1.3194
1431,2018-11-21,0.0,13187.81,13187.81,1.3188
1432,2018-11-22,0.0,13211.91,13211.91,1.3212
1433,2018-11-23,0.0,13075.8,13075.8,1.3076
1434,2018-11-26,0.0,13057.44,13057.44,1.3057
1435,2018-11-27,0.0,13078.55,13078.55,1.3079
1436,2018-11-28,0.0,13137.43,13137.43,1.3137
1437,2018-11-29,0.0,13046.7,13046.7,1.3047
1438,2018-11-30,0.0,13068.18,13068.18,1.3068
1439,2018-12-03,0.0,13223.03,13223.03,1.3223
1440,2018-12-04,0.0,13276.14,13276.14,1.3276
1441,2018-12-05,0.0,13256.08,13256.08,1.3256
1442,2018-12-06,0.0,13166.11,13166.11,1.3166
1443,2018-12-07,0.0,13210.68,13210.68,1.3211
1444,2018-12-10,0.0,13132.26,13132.26,1.3132
1445,2018-12-11,0.0,13118.3,13118.3,1.3118
1446,2018-12-12,0.0,13116.26,13116.26,1.3116
1447,2018-12-13,0.0,13176.41,13176.41,1.3176
1448,2018-12-14,0.0,13076.22,13076.22,1.3076
1449,2018-12-17,0.0,13040.73,13040.73,1.3041
1450,2018-12-18,0.0,12966.13,12966.13,1.2966
1451,2018-12-19,0.0,12920.16,12920.16,1.292
1452,2018-12-20,0.0,12893.54,12893.54,1.2894
1453,2018-12-21,0.0,12847.91,12847.91,1.2848
1454,2018-12-24,0.0,12890.95,12890.95,1.2891
1455,2018-12-25,0.0,12853.02,12853.02,1.2853
