,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
601,2015-06-29,12115.23,7165.53,19280.76,1.9281
602,2015-06-30,13001.91,6759.65,19761.56,1.9762
603,2015-07-01,13001.91,6484.83,19486.74,1.9487
604,2015-07-02,13001.91,6270.3,19272.21,1.9272
605,2015-07-03,13001.91,6324.84,19326.75,1.9327
606,2015-07-06,13001.91,6338.21,19340.12,1.934
607,2015-07-07,13001.91,5971.76,18973.67,1.8974
608,2015-07-08,13001.91,5774.02,18775.93,1.8776
609,2015-07-09,13001.91,6031.77,19033.68,1.9034
610,2015-07-10,13001.91,6244.21,19246.12,1.9246
611,2015-07-13,13001.91,6119.13,19121.04,1.9121
612,2015-07-14,14526.86,4554.0,19080.86,1.9081
613,2015-07-15,15113.03,3851.2,18964.23,1.8964
614,2015-07-16,15113.03,3851.0,18964.03,1.8964
615,2015-07-17,16948.38,2145.59,19093.97,1.9094
616,2015-07-20,16948.38,2236.87,19185.25,1.9185
617,2015-07-21,16948.38,2286.67,19235.05,1.9235
618,2015-07-22,16948.38,2273.71,19222.09,1.9222
619,2015-07-23,16948.38,2397.47,19345.85,1.9346
620,2015-07-24,0.0,19228.1,19228.1,1.9228
621,2015-07-27,0.0,17908.31,17908.31,1.7908
622,2015-07-28,0.0,17885.76,17885.76,1.7886
623,2015-07-29,0.0,18200.32,18200.32,1.82
624,2015-07-30,0.0,17595.42,17595.42,1.7595
625,2015-07-31,0.0,17309.09,17309.09,1.7309
626,2015-08-03,0.0,17158.71,17158.71,1.7159
627,2015-08-04,0.0,18527.74,18527.74,1.8528
628,2015-08-05,0.0,18080.82,18080.82,1.8081
629,2015-08-06,0.0,18246.06,18246.06,1.8246
630,2015-08-07,0.0,18594.76,18594.76,1.8595
631,2015-08-10,0.0,19480.84,19480.84,1.9481
632,2015-08-11,0.0,18843.53,18843.53,1.8844
633,2015-08-12,0.0,18717.87,18717.87,1.8718
634,2015-08-13,0.0,18938.09,18938.09,1.8938
635,2015-08-14,0.0,18911.88,18911.88,1.8912
636,2015-08-17,0.0,18523.71,18523.71,1.8524
637,2015-08-18,0.0,17411.31,17411.31,1.7411
638,2015-08-19,0.0,17672.59,17672.59,1.7673
639,2015-08-20,0.0,17144.09,17144.09,1.7144
640,2015-08-21,0.0,16790.0,16790.0,1.679
641,2015-08-24,0.0,15202.47,15202.47,1.5202
642,2015-08-25,0.0,15056.01,15056.01,1.5056
643,2015-08-26,0.0,15354.8,15354.8,1.5355
644,2015-08-27,0.0,15937.02,15937.02,1.5937
645,2015-08-28,0.0,16376.66,16376.66,1.6377
646,2015-08-31,0.0,15966.25,15966.25,1.5966
647,2015-09-01,0.0,15710.16,15710.16,1.571
648,2015-09-02,0.0,15560.54,15560.54,1.5561
649,2015-09-07,0.0,15703.58,15703.58,1.5704
650,2015-09-08,0.0,16059.31,16059.31,1.6059
651,2015-09-09,0.0,16552.17,16552.17,1.6552
652,2015-09-10,0.0,16154.56,16154.56,1.6155
653,2015-09-11,0.0,16196.39,16196.39,1.6196
654,2015-09-14,0.0,15794.67,15794.67,1.5795
655,2015-09-15,0.0,15619.07,15619.07,1.5619
656,2015-09-16,0.0,15932.52,15932.52,1.5933
657,2015-09-17,0.0,15755.69,15755.69,1.5756
658,2015-09-18,0.0,15887.23,15887.23,1.5887
659,2015-09-21,0.0,16321.5,16321.5,1.6322
660,2015-09-22,0.0,16339.4,16339.4,1.6339
661,2015-09-23,0.0,16097.03,16097.03,1.6097
662,2015-09-24,0.0,16113.24,16113.24,1.6113
663,2015-09-25,0.0,15876.6,15876.6,1.5877
664,2015-09-28,0.0,15981.42,15981.42,1.5981
665,2015-09-29,0.0,16061.58,16061.58,1.6062
666,2015-09-30,0.0,16137.76,16137.76,1.6138
667,2015-10-08,0.0,16309.5,16309.5,1.6309
668,2015-10-09,0.0,16421.87,16421.87,1.6422
669,2015-10-12,0.0,16501.05,16501.05,1.6501
670,2015-10-13,0.0,16526.45,16526.45,1.6526
671,2015-10-14,0.0,16516.66,16516.66,1.6517
672,2015-10-15,0.0,16557.13,16557.13,1.6557
673,2015-10-16,0.0,16586.65,16586.65,1.6587
674,2015-10-19,0.0,16565.16,16565.16,1.6565
675,2015-10-20,0.0,16593.47,16593.47,1.6593
676,2015-10-21,0.0,16542.9,16542.9,1.6543
677,2015-10-22,0.0,16572.27,16572.27,1.6572
678,2015-10-23,0.0,16600.42,16600.42,1.66
679,2015-10-26,0.0,16583.35,16583.35,1.6583
680,2015-10-27,0.0,16587.63,16587.63,1.6588
681,2015-10-28,0.0,16564.46,16564.46,1.6564
682,2015-10-29,0.0,16561.88,16561.88,1.6562
683,2015-10-30,0.0,16574.44,16574.44,1.6574
684,2015-11-02,0.0,16520.71,16520.71,1.6521
685,2015-11-03,0.0,16530.41,16530.41,1.653
686,2015-11-04,0.0,16600.44,16600.44,1.66
687,2015-11-05,0.0,16600.57,16600.57,1.6601
688,2015-11-06,0.0,16662.05,16662.05,1.6662
689,2015-11-09,0.0,16615.03,16615.03,1.6615
690,2015-11-10,0.0,16628.87,16628.87,1.6629
691,2015-11-11,0.0,16633.07,16633.07,1.6633
692,2015-11-12,0.0,16629.25,16629.25,1.6629
693,2015-11-13,0.0,16592.29,16592.29,1.6592
694,2015-11-16,0.0,16596.45,16596.45,1.6596
695,2015-11-17,0.0,16559.21,16559.21,1.6559
696,2015-11-18,0.0,16521.81,16521.81,1.6522
697,2015-11-19,0.0,16585.55,16585.55,1.6586
698,2015-11-20,0.0,16597.68,16597.68,1.6598
699,2015-11-23,0.0,16581.35,16581.35,1.6581
700,2015-11-24,0.0,16568.29,16568.29,1.6568
701,2015-11-25,0.0,16570.75,16570.75,1.6571
702,2015-11-26,0.0,16562.16,16562.16,1.6562
703,2015-11-27,0.0,16536.19,16536.19,1.6536
704,2015-11-30,0.0,16545.04,16545.04,1.6545
705,2015-12-01,0.0,16567.62,16567.62,1.6568
706,2015-12-02,0.0,16574.12,16574.12,1.6574
707,2015-12-03,0.0,16582.24,16582.24,1.6582
708,2015-12-04,0.0,16568.42,16568.42,1.6568
709,2015-12-07,0.0,16667.51,16667.51,1.6668
710,2015-12-08,0.0,16628.09,16628.09,1.6628
711,2015-12-09,0.0,16599.87,16599.87,1.66
712,2015-12-10,0.0,16590.53,16590.53,1.6591
713,2015-12-11,0.0,16571.5,16571.5,1.6572
714,2015-12-14,0.0,16584.19,16584.19,1.6584
715,2015-12-15,0.0,16590.35,16590.35,1.659
716,2015-12-16,0.0,16595.72,16595.72,1.6596
717,2015-12-17,0.0,16607.65,16607.65,1.6608
718,2015-12-18,0.0,16588.42,16588.42,1.6588
719,2015-12-21,0.0,16605.8,16605.8,1.6606
720,2015-12-22,0.0,16608.46,16608.46,1.6608
721,2015-12-23,0.0,16601.36,16601.36,1.6601
722,2015-12-24,0.0,16599.43,16599.43,1.6599
723,2015-12-25,0.0,16585.66,16585.66,1.6586
724,2015-12-28,0.0,16548.55,16548.55,1.6549
725,2015-12-29,0.0,16536.28,16536.28,1.6536
726,2015-12-30,0.0,16524.57,16524.57,1.6525
727,2015-12-31,0.0,16505.04,16505.04,1.6505
728,2016-01-04,0.0,16436.53,16436.53,1.6437
729,2016-01-05,0.0,16417.04,16417.04,1.6417
730,2016-01-06,0.0,16425.16,16425.16,1.6425
731,2016-01-07,0.0,16378.18,16378.18,1.6378
732,2016-01-08,0.0,16371.72,16371.72,1.6372
733,2016-01-11,0.0,16338.26,16338.26,1.6338
734,2016-01-12,0.0,16370.41,16370.41,1.637
735,2016-01-13,0.0,16364.41,16364.41,1.6364
736,2016-01-14,0.0,16416.51,16416.51,1.6417
737,2016-01-15,0.0,16389.88,16389.88,1.639
738,2016-01-18,0.0,16359.31,16359.31,1.6359
739,2016-01-19,0.0,16289.59,16289.59,1.629
740,2016-01-20,0.0,16218.79,16218.79,1.6219
741,2016-01-21,0.0,16199.04,16199.04,1.6199
742,2016-01-22,0.0,16215.78,16215.78,1.6216
743,2016-01-25,0.0,16261.57,16261.57,1.6262
744,2016-01-26,0.0,16207.92,16207.92,1.6208
745,2016-01-27,0.0,16221.51,16221.51,1.6222
746,2016-01-28,0.0,16230.04,16230.04,1.623
747,2016-01-29,0.0,16267.26,16267.26,1.6267
748,2016-02-01,0.0,16271.11,16271.11,1.6271
749,2016-02-02,0.0,16297.31,16297.31,1.6297
750,2016-02-03,0.0,16301.68,16301.68,1.6302
751,2016-02-04,0.0,16309.37,16309.37,1.6309
752,2016-02-05,0.0,16294.98,16294.98,1.6295
753,2016-02-15,0.0,16296.83,16296.83,1.6297
754,2016-02-16,0.0,16344.7,16344.7,1.6345
755,2016-02-17,0.0,16365.44,16365.44,1.6365
756,2016-02-18,0.0,16368.35,16368.35,1.6368
757,2016-02-19,0.0,16356.44,16356.44,1.6356
758,2016-02-22,0.0,16368.0,16368.0,1.6368
759,2016-02-23,0.0,16346.65,16346.65,1.6347
760,2016-02-24,0.0,16331.53,16331.53,1.6332
761,2016-02-25,0.0,16283.01,16283.01,1.6283
762,2016-02-26,0.0,16252.79,16252.79,1.6253
763,2016-02-29,0.0,16230.96,16230.96,1.6231
764,2016-03-01,0.0,16240.84,16240.84,1.6241
765,2016-03-02,0.0,16299.56,16299.56,1.63
766,2016-03-03,0.0,16288.53,16288.53,1.6289
767,2016-03-04,0.0,16269.0,16269.0,1.6269
768,2016-03-07,0.0,16282.87,16282.87,1.6283
769,2016-03-08,0.0,16280.06,16280.06,1.628
770,2016-03-09,0.0,16278.09,16278.09,1.6278
771,2016-03-10,0.0,16261.94,16261.94,1.6262
772,2016-03-11,0.0,16258.93,16258.93,1.6259
773,2016-03-14,0.0,16279.35,16279.35,1.6279
774,2016-03-15,0.0,16274.51,16274.51,1.6275
775,2016-03-16,0.0,16272.31,16272.31,1.6272
776,2016-03-17,0.0,16300.17,16300.17,1.63
777,2016-03-18,0.0,16338.63,16338.63,1.6339
778,2016-03-21,0.0,16330.58,16330.58,1.6331
779,2016-03-22,0.0,16316.62,16316.62,1.6317
780,2016-03-23,0.0,16313.47,16313.47,1.6313
781,2016-03-24,0.0,16302.95,16302.95,1.6303
782,2016-03-25,0.0,16303.8,16303.8,1.6304
783,2016-03-28,0.0,16287.26,16287.26,1.6287
784,2016-03-29,0.0,16272.09,16272.09,1.6272
